2010/06, 7
2010/07, 6
2010/08, 29
2010/09, 8
2010/10, 3
2010/11, 0
2010/12, 7
2011/01, 3
2011/02, 2
2011/03, 2
2011/04, 6
2011/05, 0
2011/06, 1
2011/07, 1
2011/08, 0
2011/09, 1
2011/10, 11
2011/11, 2
2011/12, 3
2012/01, 15
2012/02, 2
2012/03, 5
2012/04, 17
2012/05, 5
2012/06, 18
2012/07, 2
2012/08, 7
2012/09, 6
2012/10, 10
2012/11, 11
2012/12, 5
2013/01, 11
2013/02, 3
2013/03, 1
2013/04, 9
2013/05, 13
2013/06, 4
2013/07, 1
2013/08, 0
2013/09, 2
2013/10, 2
2013/11, 4
2013/12, 16
2014/01, 11
2014/02, 5
2014/03, 10
2014/04, 2
2014/05, 3
2014/06, 3
2014/07, 3
2014/08, 5
2014/09, 5
2014/10, 2
2014/11, 7
2014/12, 3
2015/01, 8
2015/02, 0
2015/03, 5
2015/04, 3
2015/05, 5
2015/06, 0
2015/07, 1
2015/08, 5
2015/09, 7
2015/10, 2
