2010/06, 2
2010/07, 2
2010/08, 37
2010/09, 45
2010/10, 13
2010/11, 16
2010/12, 0
2011/01, 1
2011/02, 1
2011/03, 13
2011/04, 57
2011/05, 0
2011/06, 20
2011/07, 7
2011/08, 4
2011/09, 2
2011/10, 16
2011/11, 11
2011/12, 1
2012/01, 3
2012/02, 104
2012/03, 13
2012/04, 14
2012/05, 32
2012/06, 92
2012/07, 0
2012/08, 26
2012/09, 1
2012/10, 1
2012/11, 0
2012/12, 0
2013/01, 17
2013/02, 0
2013/03, 3
2013/04, 0
2013/05, 3
2013/06, 1
2013/07, 0
2013/08, 1
2013/09, 5
2013/10, 0
2013/11, 4
2013/12, 7
2014/01, 0
2014/02, 1
2014/03, 3
2014/04, 1
2014/05, 6
2014/06, 5
2014/07, 1
2014/08, 3
2014/09, 15
2014/10, 13
2014/11, 12
2014/12, 4
2015/01, 5
2015/02, 0
2015/03, 2
2015/04, 0
2015/05, 0
2015/06, 4
2015/07, 0
2015/08, 2
2015/09, 1
2015/10, 1
