2010/06, 85
2010/07, 49
2010/08, 52
2010/09, 39
2010/10, 12
2010/11, 62
2010/12, 22
2011/01, 52
2011/02, 41
2011/03, 71
2011/04, 34
2011/05, 12
2011/06, 55
2011/07, 29
2011/08, 33
2011/09, 22
2011/10, 22
2011/11, 25
2011/12, 24
2012/01, 49
2012/02, 34
2012/03, 56
2012/04, 82
2012/05, 33
2012/06, 41
2012/07, 72
2012/08, 62
2012/09, 57
2012/10, 69
2012/11, 46
2012/12, 28
2013/01, 34
2013/02, 4
2013/03, 10
2013/04, 13
2013/05, 22
2013/06, 25
2013/07, 10
2013/08, 6
2013/09, 17
2013/10, 17
2013/11, 30
2013/12, 12
2014/01, 18
2014/02, 9
2014/03, 11
2014/04, 21
2014/05, 26
2014/06, 28
2014/07, 25
2014/08, 28
2014/09, 27
2014/10, 16
2014/11, 18
2014/12, 15
2015/01, 21
2015/02, 30
2015/03, 21
2015/04, 14
2015/05, 5
2015/06, 9
2015/07, 7
2015/08, 8
2015/09, 4
2015/10, 7
